bin_id,Xt,Yt,cell_count,matched_fraction
007_0_25,379.6605529785156,10294.15625,13.0,0.9999999999999999
007_0_26,368.40380859375,10601.990234375,55.0,1.0000000000000002
007_0_27,355.7244567871094,11037.4970703125,102.0,1.0
007_0_28,369.345458984375,11369.869140625,135.0,1.0000000000000007
007_0_29,375.31414794921875,11663.9287109375,31.0,1.0000000000000002
007_0_30,378.254150390625,12243.7197265625,81.0,1.0000000000000002
007_0_31,369.3791198730469,12641.818359375,85.0,0.9999999999999997
007_0_32,362.20416259765625,13046.6083984375,132.0,0.999999999999999
007_0_33,362.61871337890625,13378.7890625,132.0,0.9999999999999997
007_0_34,375.0655517578125,13749.6044921875,60.0,1.0
007_0_35,393.6051330566406,14175.4033203125,7.0,1.0
007_0_36,391.7879943847656,14602.6748046875,16.0,1.0
007_1_20,769.5700073242188,8137.38330078125,6.0,1.0
007_1_21,739.4168090820312,8656.24609375,25.0,0.9999999999999999
007_1_22,762.9222412109375,9065.271484375,21.0,0.9999999999999992
007_1_23,775.470703125,9426.5390625,34.0,1.0000000000000002
007_1_24,721.9763793945312,9733.0849609375,69.0,0.9999999999999997
007_1_25,608.0621948242188,10247.32421875,599.0,0.9999999999999997
007_1_26,579.2811279296875,10628.6240234375,331.0,1.0000000000000007
007_1_27,563.712890625,10988.15625,230.0,0.9999999999999993
007_1_28,584.7666015625,11433.1640625,650.0,1.0000000000000002
007_1_29,621.3358764648438,11810.0224609375,669.0,0.9999999999999987
007_1_30,601.44580078125,12181.1796875,599.0,1.0000000000000004
007_1_31,580.263427734375,12583.6767578125,504.0,0.9999999999999996
007_1_32,595.7774047851562,13028.771484375,529.0,0.9999999999999994
007_1_33,610.38232421875,13396.158203125,777.0,0.9999999999999999
007_1_34,609.4779052734375,13785.509765625,661.0,0.9999999999999999
007_1_35,633.6716918945312,14184.4287109375,306.0,1.0000000000000004
007_1_36,615.4952392578125,14642.65625,569.0,0.9999999999999991
007_1_37,662.9100341796875,14995.2119140625,505.0,1.0000000000000007
007_1_38,632.7632446289062,15389.212890625,697.0,0.9999999999999999
007_1_39,669.3804931640625,15792.97265625,541.0,1.0000000000000002
007_1_40,675.8635864257812,16198.8583984375,449.0,1.0000000000000007
007_1_41,706.2813110351562,16600.94140625,322.0,1.0
007_1_42,732.868896484375,16973.1875,297.0,0.9999999999999998
007_1_43,778.1316528320312,17271.08203125,36.0,1.0
007_2_15,1023.1621704101562,6235.41943359375,5.0,1.0
007_2_18,1138.1412353515625,7538.1279296875,14.0,1.0000000000000002
007_2_19,1036.8380126953125,7765.236328125,131.0,1.000000000000001
007_2_20,1087.5155029296875,8255.4990234375,63.0,1.0
007_2_21,1028.2529296875,8576.5947265625,85.0,0.9999999999999997
007_2_22,1005.4210815429688,9082.970703125,97.0,0.9999999999999998
007_2_23,893.956787109375,9378.59375,104.0,1.0000000000000009
