bin_id,Xt,Yt,cell_count,matched_fraction
044_0_26,309.45025634765625,10730.0927734375,8.0,1.0000000000000002
044_0_27,360.8830261230469,11025.8017578125,49.0,1.0000000000000002
044_0_28,372.479736328125,11440.9912109375,12.0,1.0000000000000002
044_0_29,392.0636901855469,11734.8515625,23.0,0.0
044_0_36,389.5634765625,14620.19140625,21.0,0.0
044_1_20,719.9383544921875,8351.6611328125,6.0,0.0
044_1_21,724.70849609375,8689.634765625,45.0,0.0
044_1_22,613.121337890625,8849.115234375,28.0,0.0
044_1_23,641.216796875,9462.685546875,302.0,0.6630726167198838
044_1_24,575.2572021484375,9754.6962890625,272.0,0.9236015914631919
044_1_25,691.7237548828125,10172.3896484375,211.0,1.0
044_1_27,532.20947265625,11001.1298828125,60.0,1.0000000000000002
044_1_28,634.63671875,11441.91015625,370.0,1.0000000000000004
044_1_29,594.0549926757812,11828.3662109375,594.0,0.4480661595429268
044_1_30,610.5418701171875,12169.517578125,655.0,0.7193501634865971
044_1_31,605.7608032226562,12598.2841796875,640.0,1.0000000000000002
044_1_32,661.6680908203125,12938.87890625,262.0,1.0
044_1_33,629.3635864257812,13412.349609375,634.0,1.0000000000000002
044_1_34,626.9364013671875,13810.5478515625,705.0,0.0
044_1_35,595.1006469726562,14193.427734375,659.0,0.0
044_1_36,591.5982055664062,14604.375,674.0,0.0
044_1_37,614.8942260742188,14987.7080078125,614.0,0.0
044_1_38,607.7643432617188,15397.2607421875,639.0,0.0
044_1_39,609.6646118164062,15783.4912109375,468.0,0.0
044_1_40,623.53857421875,16172.203125,446.0,0.0
044_1_41,706.0776977539062,16419.6015625,27.0,0.0
044_2_14,1126.759033203125,5824.435546875,18.0,1.0000000000000004
044_2_15,1063.153076171875,6206.0029296875,19.0,1.0000000000000002
044_2_18,1050.385009765625,7303.62353515625,35.0,0.0
044_2_20,1042.203125,8235.15625,71.0,0.0
044_2_21,990.7833251953125,8665.79296875,175.0,0.0
044_2_22,1065.965087890625,8864.830078125,88.0,0.04725697776429304
044_2_23,902.8540649414062,9473.712890625,16.0,1.0000000000000002
044_2_24,980.7838745117188,9898.8671875,65.0,1.0000000000000002
044_2_25,883.0869750976562,10166.7109375,134.0,1.0
044_2_26,1054.4378662109375,10606.130859375,76.0,1.0000000000000002
044_2_27,1061.793701171875,11041.384765625,85.0,1.0000000000000002
044_2_28,954.9341430664062,11389.1884765625,416.0,1.0000000000000002
044_2_29,993.2203979492188,11798.626953125,584.0,1.0000000000000002
044_2_30,972.3182373046875,12196.962890625,404.0,1.0
044_2_31,999.2601318359375,12599.568359375,737.0,1.0
044_2_32,1002.9503173828125,12985.8291015625,653.0,0.9999999999999998
044_2_33,980.9268798828125,13411.0048828125,553.0,0.9999999999999997
044_2_34,950.9133911132812,13804.6953125,307.0,1.0
044_2_35,978.6876831054688,14185.0380859375,526.0,1.0000000000000002
044_2_36,981.8336181640625,14616.19921875,532.0,1.0000000000000007
044_2_37,997.0240478515625,15013.23828125,549.0,0.9999999999999999
044_2_38,990.6064453125,15403.0703125,523.0,1.0000000000000007
044_2_39,1000.580322265625,15802.802734375,506.0,0.0
044_2_40,992.1036376953125,16187.478515625,465.0,0.8585525766725757
044_2_41,1037.441650390625,16486.853515625,212.0,1.0000000000000002
044_3_3,1512.2591552734375,1437.96484375,5.0,1.0000000000000002
044_3_7,1539.6236572265625,3093.611572265625,6.0,1.0000000000000002
044_3_8,1344.024169921875,3444.8984375,9.0,1.0000000000000002
044_3_10,1340.869384765625,4201.375,5.0,1.0000000000000002
044_3_14,1256.7491455078125,5895.4619140625,12.0,1.0000000000000002
044_3_15,1455.5638427734375,6234.826171875,16.0,1.0000000000000002
044_3_16,1551.6331787109375,6734.396484375,14.0,1.0
044_3_17,1472.544921875,7040.93798828125,120.0,1.0
044_3_18,1429.45751953125,7387.16748046875,162.0,0.07187727976001114
044_3_19,1447.96240234375,7835.5546875,95.0,0.0
044_3_20,1422.341552734375,8209.4345703125,197.0,0.0
044_3_21,1429.956787109375,8597.0517578125,237.0,0.0
044_3_22,1436.2418212890625,8964.3017578125,304.0,0.019151512041318756
044_3_23,1504.625732421875,9428.8203125,142.0,1.0000000000000002
044_3_24,1519.7568359375,9829.392578125,50.0,1.0000000000000002
044_3_25,1561.4609375,10101.2783203125,22.0,1.0000000000000002
044_3_26,1448.85693359375,10690.8740234375,33.0,1.0000000000000002
044_3_27,1229.4896240234375,11004.97265625,31.0,1.0000000000000002
044_3_28,1452.51513671875,11488.61328125,78.0,1.0000000000000002
044_3_29,1450.8978271484375,11883.849609375,206.0,1.0000000000000004
044_3_30,1409.060546875,12209.173828125,616.0,1.0000000000000002
044_3_31,1389.677001953125,12626.52734375,655.0,1.0000000000000002
044_3_32,1402.75634765625,12984.51171875,549.0,1.0000000000000002
