bin_id,Xt,Yt,cell_count,matched_fraction
039_0_25,337.42333984375,10284.2109375,93.0,1.0000000000000002
039_0_26,327.67529296875,10585.810546875,173.0,1.0
039_0_27,259.62408447265625,10901.4052734375,78.0,1.0
039_0_28,231.0789794921875,11497.3642578125,231.0,0.6089691195491759
039_0_29,260.4661865234375,11788.927734375,516.0,1.0000000000000004
039_0_30,248.65182495117188,12203.908203125,320.0,1.0000000000000002
039_0_31,264.3301086425781,12612.126953125,517.0,1.0000000000000002
039_0_32,256.0929870605469,12995.421875,565.0,0.9999999999999998
039_0_33,256.4109191894531,13405.6904296875,569.0,0.9999999999999998
039_0_34,263.01953125,13793.0859375,527.0,1.0
039_0_35,244.55113220214844,14199.1044921875,570.0,1.0
039_0_36,229.38172912597656,14596.708984375,561.0,1.0000000000000004
039_0_37,197.21775817871094,15002.9248046875,529.0,1.0000000000000002
039_0_38,200.27386474609375,15383.7705078125,571.0,0.9999999999999998
039_0_39,175.35508728027344,15802.2939453125,402.0,0.9999999999999994
039_0_40,138.18931579589844,16162.1435546875,260.0,1.0
039_0_41,118.43388366699219,16624.220703125,231.0,1.0
039_0_42,200.35397338867188,16979.0703125,249.0,1.0000000000000004
039_0_43,308.96026611328125,17315.607421875,146.0,0.9999999999999998
039_1_24,684.881591796875,9673.1748046875,5.0,1.0
039_1_25,572.1722412109375,10237.8828125,260.0,1.0
039_1_26,558.4664306640625,10534.943359375,287.0,1.0
039_1_27,664.2431640625,10900.91796875,164.0,1.0
039_1_28,599.0471801757812,11536.3408203125,182.0,1.0000000000000002
039_1_29,627.8516845703125,11775.310546875,476.0,0.9999999999999996
039_1_30,618.7508544921875,12189.927734375,606.0,0.9999999999999999
039_1_31,603.3197631835938,12604.5029296875,511.0,1.0000000000000002
039_1_32,580.5186157226562,13006.609375,686.0,0.9999999999999999
039_1_33,606.3120727539062,13395.4560546875,707.0,0.9999999999999996
039_1_34,601.6588745117188,13805.720703125,784.0,1.0
039_1_35,584.85107421875,14190.5703125,643.0,1.0
039_1_36,603.1735229492188,14602.0810546875,652.0,0.9999999999999999
039_1_37,590.526123046875,14990.1474609375,615.0,1.0000000000000002
039_1_38,594.2013549804688,15397.6884765625,483.0,1.0000000000000002
039_1_39,615.8336181640625,15810.73046875,486.0,0.9999999999999996
039_1_40,619.3031005859375,16214.361328125,454.0,1.0
039_1_41,667.3063354492188,16586.04296875,415.0,1.0000000000000002
039_1_42,666.923095703125,17004.640625,352.0,1.0000000000000002
039_1_43,608.5130615234375,17374.564453125,543.0,0.760234989480047
039_1_44,772.052001953125,17617.447265625,13.0,0.0
039_2_17,1056.28857421875,6964.63671875,84.0,0.27195415808926876
039_2_18,1107.7349853515625,7432.22509765625,20.0,0.9999999999999999
039_2_24,1113.884033203125,9780.3125,7.0,1.0
039_2_25,1027.9879150390625,10236.705078125,379.0,1.0
039_2_26,957.787109375,10610.431640625,277.0,1.0000000000000002
039_2_27,910.8026733398438,10900.0771484375,177.0,0.9999999999999997
039_2_28,958.4207763671875,11548.2412109375,32.0,1.0
039_2_29,1014.9581298828125,11801.97265625,353.0,0.0679237681417979
039_2_30,989.5585327148438,12193.7333984375,585.0,0.1603098195052531
039_2_31,995.0401611328125,12611.05859375,669.0,0.9999999999999996
