bin_id,Xt,Yt,cell_count,matched_fraction
025_1_33,794.6365966796875,13516.74609375,7.0,0.9999999999999998
025_1_34,786.3263549804688,13824.5732421875,47.0,1.0000000000000002
025_1_35,779.40673828125,14166.40234375,52.0,0.9999999999999996
025_1_36,770.7682495117188,14625.7666015625,93.0,1.0
025_1_37,758.9072875976562,15002.58203125,163.0,0.9999999999999993
025_1_38,742.2449951171875,15414.888671875,158.0,1.0000000000000002
025_1_39,725.0049438476562,15810.0654296875,240.0,0.9999999999999997
025_1_40,718.1259155273438,16199.927734375,269.0,0.9999999999999998
025_1_41,719.8272094726562,16625.271484375,225.0,0.9999999999999994
025_1_42,725.9381713867188,16853.625,47.0,0.9999999999999999
025_2_25,1157.2431640625,10214.1728515625,47.0,0.9999999999999999
025_2_26,1125.506103515625,10680.5078125,41.0,1.0000000000000002
025_2_27,1080.3458251953125,11012.5107421875,219.0,1.0000000000000002
025_2_28,1043.5389404296875,11422.4921875,446.0,1.0
025_2_29,1058.6048583984375,11759.2431640625,275.0,0.9999999999999993
025_2_30,1055.0361328125,12211.6357421875,320.0,1.0000000000000002
025_2_31,1020.575927734375,12619.294921875,382.0,1.0
025_2_32,1015.7113647460938,13015.7744140625,623.0,0.9999999999999999
025_2_33,1010.33984375,13402.2275390625,721.0,0.9999999999999991
025_2_34,1003.0989990234375,13804.861328125,654.0,0.9999999999999998
025_2_35,1015.5614624023438,14173.8564453125,538.0,0.9999999999999991
025_2_36,1005.5205688476562,14616.4541015625,516.0,0.9999999999999994
025_2_37,998.1566162109375,14993.1689453125,570.0,0.9999999999999999
025_2_38,1000.09033203125,15396.6630859375,681.0,1.0000000000000013
025_2_39,998.5977783203125,15784.2412109375,498.0,0.9999999999999997
025_2_40,996.200927734375,16217.208984375,488.0,1.0000000000000004
025_2_41,999.4153442382812,16570.69921875,474.0,0.9999999999999997
025_2_42,1030.197021484375,17005.18359375,363.0,0.9999999999999999
025_2_43,1102.1630859375,17266.578125,140.0,1.0
025_3_23,1446.337890625,9421.587890625,37.0,0.9999999999999997
025_3_25,1401.990478515625,10276.69921875,178.0,1.0
