bin_id,Xt,Yt,cell_count,matched_fraction
049_0_32,376.9497985839844,13065.0126953125,77.0,1.0
049_0_33,356.664794921875,13439.123046875,130.0,1.0
049_0_34,319.4137878417969,13824.16015625,273.0,0.9999999999999998
049_0_35,273.2447204589844,14214.7822265625,487.0,0.9999999999999999
049_0_36,259.73687744140625,14601.70703125,564.0,1.0
049_0_37,250.0597686767578,15008.4892578125,604.0,1.0
049_0_38,213.0647735595703,15394.7099609375,720.0,0.9999999999999992
049_0_39,216.51109313964844,15815.11328125,611.0,1.0
049_0_40,213.51187133789062,16152.36328125,675.0,0.9999999999999994
049_1_24,737.0678100585938,9823.6103515625,126.0,0.0
049_1_25,694.790283203125,10225.2646484375,225.0,0.0
049_1_26,651.883056640625,10605.1201171875,332.0,0.48319857495320223
049_1_27,631.8395385742188,11024.4365234375,511.0,1.0
049_1_28,638.9376220703125,11411.8603515625,486.0,0.9999999999999999
049_1_29,634.7787475585938,11755.255859375,483.0,1.0
049_1_30,572.642333984375,12213.2978515625,378.0,0.9999999999999997
049_1_31,662.2069091796875,12626.4267578125,411.0,1.0
049_1_32,580.6968383789062,13012.9580078125,702.0,1.0000000000000002
049_1_33,620.98486328125,13413.2431640625,721.0,1.0000000000000002
049_1_34,598.3936157226562,13796.498046875,682.0,1.0
049_1_35,593.4318237304688,14181.953125,711.0,1.0
049_1_36,594.2197875976562,14605.373046875,624.0,1.0000000000000002
049_1_37,589.6793823242188,14997.4619140625,776.0,0.9999999999999996
049_1_38,601.4389038085938,15404.8271484375,748.0,1.0
049_1_39,584.5863647460938,15808.5830078125,745.0,1.0000000000000002
049_1_40,600.068115234375,16184.4609375,626.0,0.9999999999999997
049_1_41,604.1519165039062,16455.34375,98.0,1.0000000000000002
049_2_21,1098.79638671875,8654.6220703125,228.0,0.43900137436518993
049_2_22,1043.3155517578125,9007.599609375,422.0,0.0
049_2_23,1065.9901123046875,9408.216796875,560.0,0.9999999999999998
049_2_24,1018.1237182617188,9807.685546875,519.0,0.9948654151524726
049_2_25,1022.3056640625,10196.123046875,538.0,0.34150761291453097
049_2_26,996.409423828125,10594.1796875,603.0,0.0
049_2_27,1001.8551635742188,11002.890625,706.0,0.9910844947940839
049_2_28,1007.2554931640625,11404.0185546875,642.0,1.0000000000000002
049_2_29,999.6602783203125,11782.484375,675.0,0.9999999999999997
049_2_30,1005.1348266601562,12228.908203125,478.0,1.0
049_2_31,1001.7054443359375,12601.2841796875,735.0,1.0000000000000002
049_2_32,996.9323120117188,12990.3984375,628.0,0.9999999999999994
049_2_33,991.08251953125,13379.4453125,702.0,1.0000000000000002
049_2_34,1004.2286987304688,13813.2294921875,525.0,1.0
049_2_35,998.948974609375,14189.9609375,593.0,1.0000000000000004
049_2_36,986.0640869140625,14608.341796875,555.0,1.0
049_2_37,984.8630981445312,14994.3427734375,450.0,1.0000000000000002
049_2_38,919.8878173828125,15390.173828125,407.0,1.0
049_2_39,993.9902954101562,15812.6748046875,669.0,1.0000000000000002
049_2_40,997.8324584960938,16192.0244140625,785.0,0.9999999999999997
049_2_41,1013.7688598632812,16533.984375,431.0,1.0000000000000002
049_3_17,1537.87744140625,6983.27734375,37.0,0.9999999999999998
049_3_18,1534.5882568359375,7486.1171875,42.0,0.26165393588852504
049_3_19,1495.9652099609375,7786.5771484375,23.0,0.0
049_3_20,1422.3399658203125,8195.4794921875,283.0,0.3730629811876313
049_3_21,1389.30810546875,8608.193359375,402.0,0.8970312278482334
049_3_22,1404.957275390625,9021.64453125,427.0,0.0
049_3_23,1381.4132080078125,9411.498046875,674.0,0.032549022675586625
049_3_24,1406.1993408203125,9747.95703125,456.0,0.19544581735436542
049_3_25,1384.0155029296875,10222.7412109375,587.0,0.0
049_3_26,1384.217529296875,10611.0595703125,533.0,0.19550787260017008
049_3_27,1397.95947265625,11001.3466796875,585.0,0.0726580427119345
049_3_28,1386.28564453125,11406.4091796875,621.0,0.2328856690867736
049_3_29,1391.643310546875,11794.365234375,664.0,1.0
049_3_30,1409.6395263671875,12190.0185546875,638.0,1.0000000000000002
049_3_31,1391.0419921875,12595.30078125,646.0,1.0000000000000002
049_3_32,1408.4398193359375,13001.939453125,666.0,1.0
049_3_33,1394.7396240234375,13397.44921875,765.0,1.0
049_3_34,1385.5928955078125,13788.5185546875,629.0,0.9999999999999998
049_3_35,1395.494873046875,14198.8408203125,434.0,0.9999999999999998
049_3_36,1397.4683837890625,14598.0849609375,357.0,1.0
049_3_37,1376.2381591796875,15008.130859375,192.0,0.9999999999999999
049_3_38,1389.034912109375,15425.9609375,305.0,1.0
049_3_39,1372.1915283203125,15812.130859375,562.0,1.0
049_3_40,1393.5948486328125,16211.755859375,632.0,1.0
049_3_41,1401.154541015625,16606.90234375,776.0,1.0000000000000007
049_3_42,1487.20654296875,16874.158203125,226.0,0.9999999999999997
049_4_13,1898.4610595703125,5528.7021484375,18.0,0.45129403964392506
049_4_14,1890.700439453125,5801.94873046875,56.0,0.9999999999999999
049_4_15,1770.5452880859375,6039.66015625,15.0,0.9999999999999999
049_4_17,1746.902099609375,7097.34130859375,69.0,1.0
049_4_18,1818.7734375,7372.33642578125,250.0,0.9999999999999994
049_4_19,1765.9825439453125,7921.93505859375,79.0,0.8437639607499188
049_4_20,1826.2967529296875,8222.50390625,369.0,0.7320112013582386
049_4_21,1798.1937255859375,8590.7607421875,399.0,0.819146568247861
049_4_22,1801.0826416015625,8985.462890625,480.0,1.0000000000000004
049_4_23,1790.65673828125,9406.1669921875,547.0,0.3559417118641504
049_4_24,1799.5556640625,9825.0673828125,694.0,0.0987844077960437
049_4_25,1814.1890869140625,10197.515625,804.0,0.19709729149742505
049_4_26,1832.9134521484375,10597.833984375,628.0,0.07204969768614627
049_4_27,1811.232177734375,11000.4716796875,656.0,0.0
049_4_28,1819.435546875,11384.505859375,729.0,0.05642500330078546
049_4_29,1807.9847412109375,11802.2431640625,614.0,0.6989189588641901
049_4_30,1793.38623046875,12186.890625,628.0,0.9999999999999998
049_4_31,1800.7735595703125,12607.158203125,665.0,0.9999999999999997
049_4_32,1797.6639404296875,12997.7001953125,754.0,0.9999999999999991
049_4_33,1794.3719482421875,13404.2724609375,678.0,1.0
049_4_34,1807.6357421875,13788.8134765625,604.0,0.9999999999999997
049_4_35,1833.0682373046875,14213.912109375,412.0,1.0000000000000002
049_4_36,1844.072265625,14573.2099609375,321.0,1.0000000000000002
049_4_37,1850.70654296875,15016.1416015625,308.0,0.9999999999999997
049_4_38,1734.3631591796875,15335.21484375,258.0,0.9999999999999999
049_4_39,1823.6307373046875,15810.56640625,371.0,1.0
049_4_40,1810.943359375,16181.3486328125,495.0,0.9999999999999998
049_4_41,1782.30810546875,16611.970703125,615.0,1.0000000000000002
049_4_42,1824.4598388671875,16985.296875,589.0,1.0
049_4_43,1921.5743408203125,17296.125,136.0,1.0000000000000002
049_5_11,2297.6572265625,4636.607421875,22.0,0.0
049_5_12,2268.930908203125,5007.17724609375,80.0,0.0
049_5_13,2107.82080078125,5399.6591796875,84.0,0.0
049_5_14,2058.770751953125,5650.45458984375,10.0,1.0
049_5_17,2088.799072265625,7175.24853515625,20.0,1.0
049_5_18,2122.59912109375,7349.27783203125,193.0,1.0000000000000002
049_5_19,2216.7705078125,7881.26513671875,453.0,1.0000000000000009
049_5_20,2227.62939453125,8193.48046875,637.0,0.9999999999999993
049_5_21,2192.668701171875,8606.8857421875,288.0,0.9999999999999998
049_5_22,2208.27099609375,9008.2158203125,585.0,0.9999999999999996
049_5_23,2206.275146484375,9411.44921875,552.0,0.9414082480058763
049_5_24,2224.410400390625,9812.3369140625,716.0,0.9739412525677431
049_5_25,2214.81982421875,10201.5234375,949.0,0.9999999999999998
049_5_26,2203.618408203125,10605.2021484375,817.0,0.9398181700331563
049_5_27,2185.154296875,11005.3623046875,897.0,0.660342379766249
049_5_28,2190.212158203125,11398.6689453125,846.0,0.6758394810250462
049_5_29,2217.32275390625,11795.5986328125,733.0,0.4152664704043892
049_5_30,2212.42431640625,12194.8740234375,468.0,1.0
049_5_31,2197.642578125,12609.7109375,685.0,1.0000000000000007
049_5_32,2194.3154296875,12991.236328125,706.0,0.9999999999999999
049_5_33,2202.032958984375,13413.1953125,686.0,1.0000000000000002
049_5_34,2245.52001953125,13810.697265625,550.0,1.0
049_5_35,2225.071533203125,14193.8251953125,562.0,1.0
049_5_36,2213.067626953125,14602.228515625,605.0,0.9999999999999998
049_5_37,2195.945068359375,15009.521484375,606.0,1.0
049_5_38,2235.324951171875,15412.642578125,529.0,1.0
049_5_39,2195.19189453125,15816.1494140625,618.0,1.0
049_5_40,2205.634521484375,16194.8798828125,620.0,0.9999999999999998
049_5_41,2198.763671875,16614.072265625,728.0,1.0
049_5_42,2201.412109375,17008.970703125,709.0,1.0
049_5_43,2202.599365234375,17386.716796875,723.0,0.7335657039856378
049_5_44,2374.193115234375,17609.87109375,5.0,1.0
049_6_2,2785.6484375,1144.7283935546875,6.0,0.0
049_6_3,2736.93798828125,1397.049072265625,102.0,0.0
049_6_4,2647.5146484375,1794.3214111328125,109.0,0.0
049_6_5,2620.549072265625,2052.86669921875,16.0,0.0
049_6_7,2714.209716796875,2909.6630859375,17.0,0.48392738125026596
049_6_9,2701.211669921875,3834.07421875,27.0,0.7109550415898968
049_6_12,2470.468994140625,4988.85986328125,33.0,0.0
049_6_13,2691.064208984375,5411.79052734375,5.0,0.0
049_6_17,2658.898193359375,6961.0654296875,12.0,1.0
049_6_18,2679.481201171875,7526.52734375,115.0,0.9999999999999999
049_6_19,2621.2314453125,7800.326171875,699.0,1.0000000000000007
049_6_20,2606.601806640625,8199.4853515625,615.0,0.9999999999999994
049_6_21,2627.614013671875,8577.861328125,346.0,1.0000000000000002
049_6_22,2602.91796875,9013.203125,487.0,0.9362989643381197
049_6_23,2610.151123046875,9400.1328125,557.0,0.9999999999999996
049_6_24,2584.323974609375,9809.89453125,625.0,0.9999999999999998
049_6_25,2575.9306640625,10208.0556640625,824.0,0.9999999999999999
049_6_26,2619.035888671875,10572.728515625,753.0,1.0000000000000002
049_6_27,2595.571044921875,11009.578125,601.0,0.9999999999999998
049_6_28,2620.0927734375,11375.693359375,584.0,0.8867125093332444
049_6_29,2611.807373046875,11832.1845703125,770.0,0.8262379184636576
049_6_30,2593.42626953125,12190.1611328125,933.0,0.8665806829310394
049_6_31,2591.535400390625,12600.2490234375,727.0,0.932463293986014
049_6_32,2598.645751953125,13003.7939453125,780.0,0.8562433786788524
049_6_33,2597.654541015625,13397.6904296875,837.0,0.4619569625077212
049_6_34,2603.3779296875,13797.0302734375,774.0,0.17841292389277888
049_6_35,2612.05810546875,14191.1904296875,589.0,0.8681620946917433
049_6_36,2607.66064453125,14589.7822265625,651.0,1.0
049_6_37,2612.16943359375,15010.6298828125,586.0,1.0000000000000002
049_6_38,2604.58203125,15409.576171875,675.0,0.9999999999999998
049_6_39,2608.95947265625,15800.05859375,674.0,1.0
049_6_40,2580.5732421875,16192.70703125,654.0,1.0000000000000002
049_6_41,2598.062744140625,16607.529296875,673.0,1.0000000000000002
049_6_42,2599.74755859375,17010.3671875,561.0,0.7821827030778161
049_6_43,2594.111572265625,17445.595703125,543.0,0.9999999999999998
049_6_44,2647.269775390625,17700.96875,353.0,1.0000000000000004
049_7_1,3155.927490234375,767.480224609375,9.0,0.0
049_7_2,3038.84326171875,1043.944580078125,256.0,0.0
049_7_3,2986.62353515625,1374.2994384765625,241.0,0.07965056482542412
049_7_4,3011.218994140625,1808.239501953125,171.0,0.0
049_7_5,3042.14892578125,2172.472412109375,80.0,0.0
049_7_6,3030.544921875,2636.40234375,98.0,0.0
049_7_7,3043.298828125,2988.98779296875,198.0,0.24580687753071503
049_7_8,3114.62744140625,3503.674072265625,24.0,1.0
049_7_9,3016.58154296875,3800.551513671875,196.0,0.0
049_7_15,2989.19873046875,6105.04248046875,6.0,1.0
049_7_16,3091.315185546875,6688.4033203125,9.0,1.0
049_7_17,3066.20458984375,7121.5146484375,12.0,1.0
049_7_18,3013.6123046875,7484.3037109375,363.0,1.0
049_7_19,2984.05810546875,7800.87158203125,843.0,1.0000000000000002
049_7_20,2971.8466796875,8188.9541015625,549.0,1.0000000000000002
049_7_21,3014.825439453125,8590.3544921875,408.0,1.0000000000000002
049_7_22,2983.243896484375,9005.48046875,300.0,1.0
049_7_23,2997.54345703125,9413.947265625,544.0,0.9999999999999996
049_7_24,2977.242919921875,9798.9453125,504.0,0.9999999999999996
049_7_25,2974.747802734375,10175.90625,386.0,1.0
049_7_26,2981.38134765625,10623.86328125,553.0,0.9999999999999998
049_7_27,3007.762451171875,11014.4140625,690.0,0.9999999999999997
049_7_28,3020.5478515625,11400.5263671875,837.0,0.9999999999999996
049_7_29,2979.23486328125,11794.1240234375,816.0,0.5335862676887653
049_7_30,2979.859130859375,12200.0537109375,602.0,0.3917507372025963
049_7_31,2992.29736328125,12598.1728515625,712.0,0.6547519343695077
049_7_32,2992.085693359375,13005.00390625,571.0,0.0
049_7_33,3004.942138671875,13403.1875,762.0,0.19973118294384337
049_7_34,3011.550537109375,13788.9814453125,804.0,0.0
049_7_35,3000.00244140625,14203.6298828125,689.0,0.9691424260694128
049_7_36,2994.2197265625,14606.900390625,706.0,1.0
049_7_37,2997.4755859375,14988.0576171875,652.0,1.0
049_7_38,3008.38525390625,15424.8701171875,486.0,0.9999999999999999
049_7_39,3006.01220703125,15810.8505859375,579.0,1.0000000000000002
049_7_40,3010.094482421875,16206.0380859375,621.0,1.0000000000000004
049_7_41,2996.545166015625,16605.673828125,690.0,1.0000000000000002
049_7_42,2979.11083984375,16978.87109375,484.0,0.9999999999999999
049_7_43,2987.57275390625,17412.552734375,748.0,1.0000000000000002
049_7_44,3009.456787109375,17778.41015625,671.0,0.9999999999999998
049_8_1,3425.51953125,714.3441162109375,225.0,0.0
049_8_2,3401.7099609375,981.2236328125,361.0,0.0
049_8_3,3440.94482421875,1397.03271484375,162.0,0.0
049_8_4,3401.74560546875,1760.36474609375,253.0,0.027097383008084716
049_8_5,3401.974853515625,2187.29296875,118.0,0.0
049_8_6,3412.483154296875,2567.220947265625,183.0,0.0
049_8_7,3401.1064453125,3007.626953125,204.0,0.12770305894104242
049_8_8,3443.230224609375,3384.6064453125,338.0,0.0
049_8_9,3302.00146484375,3697.664794921875,100.0,0.0
049_8_12,3406.507080078125,5074.27783203125,5.0,0.0
049_8_13,3343.57568359375,5393.42919921875,5.0,0.0
049_8_14,3443.560302734375,5901.212890625,15.0,1.0
049_8_15,3369.617431640625,6065.38427734375,13.0,1.0000000000000002
049_8_17,3486.20458984375,7036.79296875,308.0,1.0000000000000004
049_8_18,3395.260498046875,7417.91552734375,670.0,1.0000000000000002
049_8_19,3413.284423828125,7758.43310546875,684.0,0.9999999999999998
049_8_20,3397.223876953125,8202.34765625,423.0,0.9766943076477861
049_8_21,3399.333740234375,8606.7841796875,510.0,1.0000000000000002
049_8_22,3406.1259765625,8994.3447265625,503.0,0.9999999999999993
049_8_23,3377.9267578125,9367.6171875,411.0,1.0
049_8_24,3401.261474609375,9784.4775390625,461.0,1.0000000000000002
049_8_25,3396.533447265625,10198.15625,388.0,1.0000000000000002
049_8_26,3423.8935546875,10618.7138671875,562.0,0.9999999999999998
049_8_27,3400.133056640625,10987.8759765625,767.0,1.0
049_8_28,3425.667724609375,11405.919921875,881.0,0.9999999999999994
