pair,source_section,target_section,section_number_gap,rotation_angle_deg,source_center_x,source_center_y,target_center_x,target_center_y,affine_offset_x,affine_offset_y,R_00,R_01,R_10,R_11,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22,Hinv_00,Hinv_01,Hinv_02,Hinv_10,Hinv_11,Hinv_12,Hinv_20,Hinv_21,Hinv_22,method,qc_status,raw_transport_mass,after_nn_median,after_nn_p95,after_fraction_within_400,transform_json,qc_image
051_to_050,051,050,1,1.5899030171685535,7759.778371304477,10243.849828213659,7641.187516300553,10808.797953042636,168.61704918237137,353.5930153711197,0.9996150200260481,-0.027745481403703975,0.027745481403703864,0.999615020026048,0.9996150200260481,-0.027745481403703975,168.61704918237137,0.027745481403703864,0.999615020026048,353.5930153711197,0.0,0.0,1.0,0.9996150200260484,0.02774548140370399,-178.36274342762837,-0.02774548140370388,0.9996150200260485,-348.7785279388358,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,164.16871143628578,284.29256460899643,0.9802478698683191,pairs/051_to_050/transform.json,pairs/051_to_050/qc.png
052_to_051,052,051,1,3.423021709141639,7507.717842968894,10390.357941753085,7759.77837130447,10243.849828213652,885.8368595033862,-576.2376695713247,0.998215917767884,-0.05970746615643119,0.05970746615643119,0.9982159177678839,0.998215917767884,-0.05970746615643119,885.8368595033862,0.05970746615643119,0.9982159177678839,-576.2376695713247,0.0,0.0,1.0,0.9982159177678838,0.059707466156431174,-849.8507625478019,-0.059707466156431174,0.9982159177678838,628.1006884924841,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,152.25725945354478,250.37875122576753,0.9962490622655664,pairs/052_to_051/transform.json,pairs/052_to_051/qc.png
054_to_052,054,052,2,14.646871194134752,7708.870390265111,9497.902582832725,7507.717842968897,10390.35794175309,2451.013726653847,-748.159897121579,0.967502639683624,-0.2528609147440939,0.2528609147440939,0.967502639683624,0.967502639683624,-0.2528609147440939,2451.013726653847,0.2528609147440939,0.967502639683624,-748.159897121579,0.0,0.0,1.0,0.9675026396836236,0.2528609147440938,-2182.181854477383,-0.2528609147440938,0.9675026396836236,1343.6122483425777,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,161.2099870824947,274.40396576670327,0.9829721362229102,pairs/054_to_052/transform.json,pairs/054_to_052/qc.png
059_to_054,059,054,5,-12.2983533096633,7366.334221242519,10484.597056513247,7708.87039026511,9497.902582832725,-1721.662305752082,822.9554149333344,0.9770516965608642,0.21300230573291323,-0.21300230573291323,0.9770516965608642,0.9770516965608642,0.21300230573291323,-1721.662305752082,-0.21300230573291323,0.9770516965608642,822.9554149333344,0.0,0.0,1.0,0.9770516965608638,-0.21300230573291312,1857.4444776361468,0.21300230573291312,0.9770516965608637,-437.3519435359268,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,161.2237900600965,275.8271899718251,0.985983179815779,pairs/059_to_054/transform.json,pairs/059_to_054/qc.png
064_to_059,064,059,5,1.186425774203493,7032.6929867468125,9629.435757836076,7366.334221242519,10484.597056513248,534.5317488450119,711.6098653688132,0.9997856169886264,-0.02070555632363935,0.020705556323639296,0.9997856169886267,0.9997856169886264,-0.02070555632363935,534.5317488450119,0.020705556323639296,0.9997856169886267,711.6098653688132,0.0,0.0,1.0,0.9997856169886266,0.020705556323639344,-549.151432466871,-0.02070555632363929,0.9997856169886263,-700.3895310704684,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,149.18636537246874,266.1643642115798,0.9833729216152018,pairs/064_to_059/transform.json,pairs/064_to_059/qc.png
069_to_064,069,064,5,3.528678798328967,7027.746878020077,8942.53999534527,7032.6929867468125,9629.435757836072,568.666583457546,271.3050466603636,0.9981041161841353,-0.0615481377158244,0.06154813771582435,0.9981041161841353,0.9981041161841353,-0.0615481377158244,568.666583457546,0.06154813771582435,0.9981041161841353,271.3050466603636,0.0,0.0,1.0,0.9981041161841354,0.061548137715824416,-584.2867780601961,-0.061548137715824354,0.9981041161841354,-235.79031462020546,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,161.51455779454514,340.30647620469017,0.9577868852459016,pairs/069_to_064/transform.json,pairs/069_to_064/qc.png
074_to_069,074,069,5,-14.066141408706823,7940.2808386871875,8780.919512178423,7027.74687802008,8942.539995345272,-2808.5818027621935,2354.729633760867,0.9700158087343087,0.24304182933298962,-0.24304182933298962,0.9700158087343087,0.9700158087343087,0.24304182933298962,-2808.5818027621935,-0.24304182933298962,0.9700158087343087,2354.729633760867,0.0,0.0,1.0,0.9700158087343077,-0.24304182933298937,3296.6665465766705,0.24304182933298937,0.9700158087343077,-1601.522110868519,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,165.8859124711526,313.3638176718183,0.9711252653927813,pairs/074_to_069/transform.json,pairs/074_to_069/qc.png
078_to_074,078,074,4,14.654400556828058,7049.57646827513,8578.297972696084,7940.280838687187,8780.919512178421,3290.238218557196,-1301.7799339716403,0.9674694023283339,-0.2529880541813307,0.25298805418133063,0.9674694023283341,0.9674694023283339,-0.2529880541813307,3290.238218557196,0.25298805418133063,0.9674694023283341,-1301.7799339716403,0.0,0.0,1.0,0.9674694023283344,0.2529880541813308,-2853.870030357588,-0.25298805418133075,0.9674694023283342,2091.823219388394,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,154.76450924118208,249.60958679001797,0.9958965941731637,pairs/078_to_074/transform.json,pairs/078_to_074/qc.png
084_to_078,084,078,6,-11.840263669329854,7576.07130673467,8744.137799632792,7049.57646827513,8578.297972696084,-2159.458267543104,1574.6930767736558,0.978723440827835,0.2051838842943658,-0.2051838842943658,0.978723440827835,0.978723440827835,0.2051838842943658,-2159.458267543104,-0.2051838842943658,0.978723440827835,1574.6930767736558,0.0,0.0,1.0,0.9787234408278347,-0.2051838842943657,2436.614067997766,0.2051838842943657,0.9787234408278346,-1098.1029910416064,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,156.32508723594435,256.62955486747234,0.9940286624203821,pairs/084_to_078/transform.json,pairs/084_to_078/qc.png
086_to_084,086,084,2,12.4675302252213,7126.707422734047,8830.242588025418,7576.07130673467,8744.137799632792,2523.750750773029,-1416.433043210529,0.9764185076409828,-0.21588630789412294,0.21588630789412294,0.9764185076409827,0.9764185076409828,-0.21588630789412294,2523.750750773029,0.21588630789412294,0.9764185076409827,-1416.433043210529,0.0,0.0,1.0,0.9764185076409828,0.21588630789412291,-2158.448441649653,-0.21588630789412294,0.9764185076409827,1927.8746698544103,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,149.32222857412043,241.5858593915242,0.99921875,pairs/086_to_084/transform.json,pairs/086_to_084/qc.png
091_to_086,091,086,5,0.5100687857187942,7135.3441130581905,9040.841714805132,7126.707422734045,8830.242588025414,72.12999711093107,-273.7615788125804,0.9999603740793439,-0.008902262133800909,0.008902262133800909,0.999960374079344,0.9999603740793439,-0.008902262133800909,72.12999711093107,0.008902262133800909,0.999960374079344,-273.7615788125804,0.0,0.0,1.0,0.9999603740793437,0.008902262133800905,-69.69004155663583,-0.008902262133800907,0.9999603740793436,274.39285089997145,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,167.4688428738439,228.71876657688708,0.9972277227722772,pairs/091_to_086/transform.json,pairs/091_to_086/qc.png
097_to_091,097,091,6,-2.578493288294242,7297.724903266374,9240.0069593326,7135.344113058189,9040.841714805129,-570.6815516730258,138.50012246140977,0.9989875269983352,0.044988008421694925,-0.04498800842169487,0.9989875269983349,0.9989875269983352,0.044988008421694925,-570.6815516730258,-0.04498800842169487,0.9989875269983349,138.50012246140977,0.0,0.0,1.0,0.9989875269983353,-0.04498800842169493,576.3345966851084,0.044988008421694876,0.9989875269983354,-112.68606837391837,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,143.7564425037377,247.39135445235075,0.9932779754843811,pairs/097_to_091/transform.json,pairs/097_to_091/qc.png
102_to_097,102,097,5,2.7980655586212286,6911.579220326949,9130.759226275535,7297.724903266376,9240.006959332602,840.1133420245023,-217.2624294067482,0.9988077860562282,-0.048816047704165866,0.0488160477041657,0.9988077860562286,0.9988077860562282,-0.048816047704165866,840.1133420245023,0.0488160477041657,0.9988077860562286,-217.2624294067482,0.0,0.0,1.0,0.9988077860562288,0.04881604770416587,-828.5058540655497,-0.048816047704165706,0.9988077860562283,258.01441909012595,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,153.2311339761541,258.29669041953093,0.9916897506925207,pairs/102_to_097/transform.json,pairs/102_to_097/qc.png
106_to_102,106,102,4,-8.11144948580645,7348.406983569715,8771.331332639507,6911.579220326951,9130.759226275535,-1600.9371548187164,1484.03420794275,0.9899954814838962,0.14109906676327905,-0.141099066763279,0.9899954814838963,0.9899954814838962,0.14109906676327905,-1600.9371548187164,-0.141099066763279,0.9899954814838963,1484.03420794275,0.0,0.0,1.0,0.9899954814838964,-0.14109906676327907,1794.3163911957186,0.14109906676327905,0.9899954814838965,-1243.296421739276,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,157.2453920170123,254.09512999385746,0.9926829268292683,pairs/106_to_102/transform.json,pairs/106_to_102/qc.png
