source_section,target_section,section_number_gap,rotation_angle_deg,determinant,qc_status,source_center_xy_x,source_center_xy_y,target_center_xy_x,target_center_xy_y,translation_after_rotation_about_source_center_xy_x,translation_after_rotation_about_source_center_xy_y,affine_offset_xy_x,affine_offset_xy_y,before_symmetric_nn_median_px,before_symmetric_nn_p95_px,before_fraction_within_400px,before_transport_rmse_px,before_transport_feature_mse,after_symmetric_nn_median_px,after_symmetric_nn_p95_px,after_fraction_within_400px,after_transport_rmse_px,after_transport_feature_mse,transform_json
007,002,5,-79.73829312740057,0.9999999999999999,pass_whole_section_qc,6836.473924074728,10453.133067299994,10502.567239508111,10948.488767018036,3666.0933154333834,495.35569971804216,-1001.2417889410444,15813.439380765929,107.71122945634033,3116.7445025370685,0.6648467030659386,8323.147938788876,1.3848065656063486,158.173959889606,273.4270528974741,0.9802603947921041,369.76278026666785,1.3848065656063486,pairs/007_to_002/transform.json
014,007,7,-13.48082711429684,1.0000000000000007,pass_whole_section_qc,8528.95882636304,11255.041908255987,7746.984861587079,12046.509506304707,-781.9739647759607,791.4675980487191,-3170.7589472228783,3089.8372926091215,59.75999653363729,1274.233952580196,0.8355614973262032,1887.078996938846,1.6623296737914308,167.46617996569688,451.0003476756107,0.9318181818181818,846.5900000255766,1.6623296737914308,pairs/014_to_007/transform.json
020,014,6,8.872776239972142,1.0000000000000002,pass_whole_section_qc,7862.228565416837,11538.839147352646,8033.68759316121,9892.294934757298,171.4590277443731,-1646.5442125953487,2045.3057003811646,-2721.139537643887,57.78668218096274,1111.9993705522982,0.8455361360415683,1932.566697338436,2.3365681688482196,166.32840580856183,468.3120809185229,0.9357581483230987,504.8505419252244,2.3365681688482196,pairs/020_to_014/transform.json
025,020,5,0.2980690624032543,0.9999999999999999,pass_whole_section_qc,8878.644238020348,12451.018411354966,8692.359503397365,12760.130472821162,-186.2847346229828,309.1120614661959,-121.39111674707965,263.0915038839339,47.92947129120751,563.8697088715713,0.9192786603692572,1003.4384331212923,1.4215452560604454,199.62377189779002,597.7373424686944,0.9235723486474882,935.8337578659632,1.4215452560604454,pairs/025_to_020/transform.json
029,025,4,2.9651268754724853,0.9999999999999999,pass_whole_section_qc,7013.785961036465,9853.090092650473,7939.3607332614065,10416.373139338437,925.5747722249416,563.2830466879641,1444.646724105749,213.66429215494463,65.94827752843183,902.1143819003155,0.8669871794871795,1303.2803339466725,2.3822081156013875,161.59739498946686,328.6889625515964,0.9659455128205128,656.9136352413133,2.3822081156013875,pairs/029_to_025/transform.json
034,029,5,-1.4527480810958793,1.0000000000000002,pass_whole_section_qc,7396.85755720371,10856.22987626239,7013.785961036466,9853.09009265047,-383.071596167244,-1003.1397836119213,-655.9268388034825,-812.1213171522013,50.00083194278956,963.1404578005383,0.858041683051514,1268.3417847023597,2.9562886918237044,164.32294785292018,376.89597213387674,0.9539913488006292,658.3202425866277,2.9562886918237044,pairs/034_to_029/transform.json
039,034,5,1.0448909856277258,1.0000000000000002,pass_whole_section_qc,7009.439240415196,10544.556976394459,7396.85755720371,10856.22987626239,387.41831678851395,311.67289986793185,580.8720770878735,185.60373585471825,54.82763104611716,453.9057130519963,0.9272365805168986,588.5674449148876,1.531901575059091,139.44288421707466,258.14542483697534,0.9876739562624255,295.27961162415147,1.531901575059091,pairs/039_to_034/transform.json
044,039,5,3.4980961793011405,1.0000000000000007,pass_whole_section_qc,8416.960165116805,11563.376292725341,7903.383542648413,12629.499526244572,-513.5766224683921,1066.1232335192308,207.64935947000504,574.1038425606384,76.06723725041246,728.8409210852593,0.8630559225011009,1244.358790804165,1.8844563237634433,168.24118869681516,503.2451623873718,0.9260237780713342,201.34896016799536,1.8844563237634433,pairs/044_to_039/transform.json
049,044,5,-7.4166530140070215,1.000000000000001,pass_whole_section_qc,8140.635758647894,12345.334523728154,8142.841255982348,11576.293548991329,2.2054973344538666,-769.0409747368249,-1523.270331272157,385.06833275716053,56.96264305172123,713.8784692373637,0.880107768298159,1047.309793584835,1.7364007006739326,159.17892649856051,465.8653314227914,0.9420745397395599,183.26966327395454,1.7364007006739326,pairs/049_to_044/transform.json
050,049,1,-0.557422002994249,0.9999999999999996,pass_whole_section_qc,7641.1875163005525,10808.797953042636,7478.898025275715,10656.323654846246,-162.28949102483784,-152.47429819639,-267.08338001330594,-77.62398420448699,41.9966902175733,482.93175564449075,0.9130615640599001,500.9885643404776,2.0274315889665933,211.77000072239508,353.81808285351036,0.9638103161397671,445.1477376903561,2.0274315889665933,pairs/050_to_049/transform.json
051,050,1,1.5899030171685535,0.9999999999999996,pass_whole_section_qc,7759.778371304477,10243.849828213659,7641.187516300553,10808.797953042636,-118.59085500392393,564.9481248289776,168.61704918237137,353.5930153711197,37.39267198098041,436.023071506627,0.9430673896204492,697.9169273138332,2.2935716680855656,164.16871143628578,284.29256460899643,0.9802478698683191,355.89659851230937,2.2935716680855656,pairs/051_to_050/transform.json
052,051,1,3.423021709141639,1.0000000000000002,pass_whole_section_qc,7507.717842968894,10390.357941753085,7759.77837130447,10243.849828213652,252.06052833557624,-146.5081135394339,885.8368595033862,-576.2376695713247,33.3673015530905,322.05467045352094,0.9651162790697675,510.1324490804209,1.777351248448725,152.25725945354478,250.37875122576753,0.9962490622655664,214.68623287805792,1.777351248448725,pairs/052_to_051/transform.json
054,052,2,14.646871194134752,1.0000000000000004,pass_whole_section_qc,7708.870390265111,9497.902582832725,7507.717842968897,10390.35794175309,-201.15254729621483,892.4553589203642,2451.013726653847,-748.159897121579,54.9242074508717,829.4145235975735,0.8746130030959752,1794.9136444403118,1.980759839837047,161.2099870824947,274.40396576670327,0.9829721362229102,324.28857053357444,1.980759839837047,pairs/054_to_052/transform.json
059,054,5,-12.2983533096633,1.0000000000000004,pass_whole_section_qc,7366.334221242519,10484.597056513247,7708.87039026511,9497.902582832725,342.5361690225909,-986.6944736805217,-1721.662305752082,822.9554149333344,60.67392644132848,762.1663166832466,0.8842611133360032,1656.209504884341,1.9236312707046213,161.2237900600965,275.8271899718251,0.985983179815779,303.2285443967322,1.9236312707046213,pairs/059_to_054/transform.json
