section,selection_order,requested_region,stored_label_value,source_csv,area_pixels_csv,mask_pixels_saved,centroid_x_global_csv,centroid_y_global_csv,original_component_id
034,7,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,36679,36679,1471.0782736715832,1842.5734071266938,17
034,8,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,2020,2020,1564.4559405940597,1967.85,21
039,1,22,22,CRC01_ROI_TLS_labeled_detailed_regions.csv,5834,5834,848.3685293109359,2230.8169352074046,23
039,2,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,10447,10447,1005.6200823202834,2270.5307743849908,22
039,3,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,5074,5074,1027.6042569964525,1997.8610563657862,20
039,4,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,2515,2515,1312.3809145129226,1945.6143141153082,19
039,5,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,2686,2686,1386.5819061801935,1948.041697691735,18
039,6,13,13,CRC01_ROI_TLS_labeled_detailed_regions.csv,22997,22997,1475.4618428490671,1787.0711831978083,13
044,1,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,7005,7005,912.2304068522484,2039.92562455389,15
044,2,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,668,668,1007.6392215568862,2055.245508982036,17
044,3,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,4275,4275,1100.489356725146,2135.1338011695907,18
044,4,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,450,450,1070.7688888888888,1992.4622222222222,16
044,5,12,12,CRC01_ROI_TLS_labeled_detailed_regions.csv,7806,7806,1118.8235972328978,1914.7881117089419,13
044,6,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,4990,4990,1396.3014028056114,1809.7248496993989,10
044,7,8,8,CRC01_ROI_TLS_labeled_detailed_regions.csv,44356,44356,1563.1234556767968,1669.3379249706918,7
049,1,41,41,CRC01_ROI_TLS_labeled_detailed_regions.csv,7682,7682,868.347565738089,2085.4203332465504,49
049,2,45,45,CRC01_ROI_TLS_labeled_detailed_regions.csv,960,960,961.821875,2157.3645833333335,56
049,3,44,44,CRC01_ROI_TLS_labeled_detailed_regions.csv,231,231,986.2164502164502,2134.939393939394,55
049,4,48,48,CRC01_ROI_TLS_labeled_detailed_regions.csv,1038,1038,1200.082851637765,2321.217726396917,60
049,5,42,42,CRC01_ROI_TLS_labeled_detailed_regions.csv,471,471,1064.3694267515923,2092.751592356688,53
049,6,37,37,CRC01_ROI_TLS_labeled_detailed_regions.csv,6696,6696,1119.8376642771805,2022.4826762246116,47
049,7,46,46,CRC01_ROI_TLS_labeled_detailed_regions.csv,4035,4035,1076.090458488228,2233.684262701363,58
049,8,47,47,CRC01_ROI_TLS_labeled_detailed_regions.csv,1174,1174,922.9131175468484,2237.352640545145,59
049,9,31,31,CRC01_ROI_TLS_labeled_detailed_regions.csv,249,249,1398.8473895582329,1913.4738955823293,41
049,10,33,33,CRC01_ROI_TLS_labeled_detailed_regions.csv,2393,2393,1446.2578353531133,1939.9962390305056,42
049,11,34,34,CRC01_ROI_TLS_labeled_detailed_regions.csv,3319,3319,1364.4537511298583,1951.7824645977703,45
049,12,26,26,CRC01_ROI_TLS_labeled_detailed_regions.csv,39844,39844,1588.9776628852526,1832.9891828129707,28
049,13,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,561,561,1510.4064171122996,1676.4991087344029,25
049,14,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,303,303,1475.3201320132014,1679.6534653465346,26
050,1,31,31,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,11740,7468,870.6336368505624,2085.1025709694695,37
050,2,34,34,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,486,486,946.1172839506173,2149.9732510288068,43
050,3,33,33,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,1845,1845,986.9262872628726,2145.3127371273713,42
050,4,32,32,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,460,460,1053.7260869565216,2094.863043478261,40
050,5,29,29,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,7415,7415,1111.7977073499662,2029.563587322994,36
050,6,37,37,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,4113,4113,1062.2246535375639,2235.601264283978,44
050,7,23,23,CRC01_050_relabel_regions_31_34_33_32_29_37_23_subregions_fullROI.csv; kept main label after deleting subregions,50369,44224,1535.5649421128799,1864.898652315485,29
051,1,36,36,CRC01_ROI_TLS_labeled_detailed_regions.csv,14425,14425,851.2279376083188,2097.9898786828426,60
051,2,41,41,CRC01_ROI_TLS_labeled_detailed_regions.csv,2169,2169,874.5348086675888,2232.863531581374,66
051,3,40,40,CRC01_ROI_TLS_labeled_detailed_regions.csv,3328,3328,1019.5600961538462,2179.3680889423076,65
051,4,42,42,CRC01_ROI_TLS_labeled_detailed_regions.csv,5359,5359,1104.295577533122,2282.2011569322635,67
051,5,35,35,CRC01_ROI_TLS_labeled_detailed_regions.csv,10317,10317,1148.2082969855578,2069.5653775322285,58
051,6,37,37,CRC01_ROI_TLS_labeled_detailed_regions.csv,583,583,1097.0480274442539,2136.4236706689535,63
051,7,33,33,CRC01_ROI_TLS_labeled_detailed_regions.csv,6773,6773,1443.1649195334417,1991.3663073970174,57
051,8,29,29,CRC01_ROI_TLS_labeled_detailed_regions.csv,307,307,1495.1400651465797,1913.28664495114,53
051,9,26,26,CRC01_ROI_TLS_labeled_detailed_regions.csv,44388,44388,1628.2507885013968,1868.5867351536451,41
052,1,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,16813,16813,853.5622435020521,2075.602331529174,22
052,2,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,478,478,1063.5041841004186,2091.577405857741,23
052,3,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,6640,6640,1065.46671686747,2243.240963855422,24
052,4,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,6540,6540,1103.2762996941897,2017.748012232416,21
052,5,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,6991,6991,1376.0150193105421,1930.0801029895579,20
052,6,12,12,CRC01_ROI_TLS_labeled_detailed_regions.csv,42248,42248,1562.2895758379095,1802.8284889225524,13
054,1,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,20305,20305,1095.288155626693,2098.362176803743,17
054,2,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,9214,9214,1319.0557846754937,1970.5722813110483,15
054,3,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,6403,6403,1358.3260971419647,2197.909261283773,19
054,4,7,7,CRC01_ROI_TLS_labeled_detailed_regions.csv,50421,50421,1707.521251066024,1648.6473889847484,6
059,1,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,17475,17475,879.8222031473533,2048.69773962804,22
059,2,22,22,CRC01_ROI_TLS_labeled_detailed_regions.csv,1791,1791,1056.895030709101,2019.356783919598,23
059,3,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,2924,2924,1065.3396032831738,1960.3720930232557,21
059,4,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,5708,5708,1058.0537841625787,2178.8081639803786,24
059,5,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,44366,44366,1491.1452914393906,1766.4533201099941,10
059,6,11,11,CRC01_ROI_TLS_labeled_detailed_regions.csv,641,641,1644.2761310452418,1655.0842433697348,12
059,7,12,12,CRC01_ROI_TLS_labeled_detailed_regions.csv,619,619,1734.9757673667204,1702.0032310177705,15
064,1,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,725,725,865.4537931034483,1921.575172413793,15
064,2,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,28356,28356,876.3943786147553,2028.1434617012274,16
064,3,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,7322,7322,1065.3657470636438,2155.2517071838297,17
064,4,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,8422,8422,1363.9788648777012,1874.9685347898362,14
